chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;susc1;susexfisc1;susexnfisc1;sus1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;sustr;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;suscje;susexje;susje;sus1jetr;CP;SUS;Tram;Dpj;DPeI;DPCO;dpjio;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tpefetae1;tpefetaeje;tpefetacje1;tpefettr;TpEfet1jetr;tpiae1;tpiaeje;tpiacje1;tpitr;tpi1jetr;tpsvae1;tpsvaeje;tpsvacje1;tpsvtr;tpsv1jetr;tasae1;tasaeje;tasacje1;tastr;Tpaf1jetr;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix;cp.sus;cp.sus.fisc;tbaix.sus.fisc;cp.sus.fisc.penal;tbaix.sus.fisc.penal;mag1je;pib;h1;g1;g7;f2;f3;cm1je;k1je;ipm1je;ipsjud1je;iad1je;tc1je
TRF2_2º Grau_2014;2014;TRF2;TRF 2ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;120829;0;179074;358925353;43567580;;315357773;0;0;0;0;0;0;0;0;0;27;1014;19;103;29;743;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58245;120829;120829;58245;120829;58245;0;799860625458;20346222;0,00045;17,64088;0,13270;3,65178;;;;0,00000;;
TRF2_total_2014;2014;TRF2;TRF 2ª Região;total;1;148751;10896;41075;74305;6719;0;1000;14756;701534;32297;106886;504530;16299;0;3185;38337;;;;;56037;28;56009;94869;16;94853;;183842;346;141084;42412;137807;915;112679;24213;;;;;1052107;0;1531845;1419772537;182706564;;1237065972;120;54;18;41;0;0;10;4;0;246;4535;157;270;36;4684;;;;;;;;;;;;;;;;;;;;;180045;13638;53151;90115;5534;866;0;16741;50050;24;50026;191398;538;144365;46495;479738;1052107;547577;389623;544392;388757;201;799860625458;20346222;0,00178;69,78065;1,20907;23,02147;1365,29851;5830,51741;1847,97512;79,30038;1,11681;0,68305
TRF3_MS_2014;2014;TRF3;TRF 3ª Região;MS;0;19565;1240;10469;5774;1664;222;141;55;29801;1132;2798;23568;1099;125;339;740;;;;;2821;6;2815;9212;3;9209;;14687;0;14687;0;20112;0;20112;0;;;;;59125;0;96198;97124531;6291697;;90832834;21;3;3;0;0;0;0;0;0;27;318;1;10;1;328;;;;;;;;;;;;;;;;;;;;;7190;777;1795;2241;968;62;323;1024;2627;1;2626;6727;19;6708;0;16544;59125;35557;14303;35093;13918;24;78950132709;2619657;0,00123;37,07529;1,03067;12,52072;1409,75000;3506,87500;579,87500;42,42988;0,40631;0,83465
TRF3_SP_2014;2014;TRF3;TRF 3ª Região;SP;0;282871;4170;97183;109358;6605;338;886;64331;1707739;18756;184755;1259932;26357;139;2526;215274;;;;;92748;51;92697;282739;42;282697;;317026;46;316980;0;277001;568;276433;0;;;;;2267479;0;2960124;1298350190;134882314;;1163467877;210;60;33;4;0;0;8;2;1;296;4164;53;32;4;4147;;;;;;;;;;;;;;;;;;;;;438732;10691;167015;52376;4307;627;38;203678;53857;70;53787;197578;248;197330;0;690167;2267479;1007547;637791;1004882;637126;264;1858196055494;44035303;0,00070;29,48430;0,67219;9,41744;2024,02273;9790,29167;2410,26515;153,43863;1,06070;0,75381
TRF3_TRU_2014;2014;TRF3;TRF 3ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1937146188203;46654960;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF3_2º Grau_2014;2014;TRF3;TRF 3ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;442423;0;609141;529905913;64424465;;465481447;0;0;0;0;0;0;0;0;0;43;1819;46;30;13;1153;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166718;442423;442423;166718;442423;166718;0;1937146188203;46654960;0,00027;11,35798;0,09217;2,47133;;;;0,00000;;
TRF3_total_2014;2014;TRF3;TRF 3ª Região;total;1;302436;5410;107652;115132;8269;560;1027;64386;1737540;19888;187553;1283500;27456;264;2865;216014;;;;;95569;57;95512;291951;45;291906;;331713;46;331667;0;297113;568;296545;0;;;;;2861786;0;3735215;1925380634;205598476;;1719782158;238;55;18;3;0;0;15;4;1;366;6301;100;72;18;6291;;;;;;;;;;;;;;;;;;;;;445922;11468;168810;54617;5275;689;361;204702;56484;71;56413;204305;267;204038;0;873429;2861786;1578286;818812;1575157;817762;277;1937146188203;46654960;0,00099;41,26851;0,78448;13,48410;2051,17690;9634,66426;2347,38989;103,35829;1,02535;0,75636
TRF4_RS_2014;2014;TRF4;TRF 4ª Região;RS;0;98271;7194;50225;31579;2933;516;334;5490;371365;9414;68332;239007;11131;1228;881;41372;;;;;66611;35;66576;100689;20;100669;;213961;424;213537;0;135205;667;134538;0;;;;;607259;0;986102;563324350;44583358;;518740992;46;39;15;59;0;0;3;2;1;153;1737;4;4;0;1737;;;;;;;;;;;;;;;;;;;;;79426;6833;50847;16899;1963;344;260;2280;59004;21;58983;126204;468;125736;0;264634;607259;368252;247735;366143;247131;139;357816423821;11207274;0,00157;50,26417;1,36518;15,49886;2200,66187;5890,66187;1479,35252;118,38227;0,65858;0,74886
TRF4_PR_2014;2014;TRF4;TRF 4ª Região;PR;0;77340;11839;33664;23576;3001;1388;766;3106;280141;13890;52030;148049;9001;2110;1045;54016;;;;;36581;62;36519;79863;14;79849;;139680;373;139307;0;75234;521;74713;0;;;;;435238;0;688839;466063304;40728072;;425335232;40;25;12;53;0;0;5;0;0;125;1489;1;5;0;1493;;;;;;;;;;;;;;;;;;;;;59324;11669;35490;8180;1594;535;628;1228;39326;27;39299;73084;302;72782;0;171734;435238;287189;163554;284034;162391;113;348084190849;11081692;0,00134;42,05705;1,12799;13,47267;1873,98230;5065,44248;1171,75221;88,68587;0,61012;0,76868
TRF4_SC_2014;2014;TRF4;TRF 4ª Região;SC;0;80665;4138;26899;19221;3602;276;323;26206;165417;6461;27252;105198;5626;697;572;19611;;;;;36072;34;36038;66208;8;66200;;109662;287;109375;0;66834;519;66315;0;;;;;298459;0;524858;327355789;20244435;;307111354;16;22;9;39;0;0;1;1;1;83;1044;0;2;0;1046;;;;;;;;;;;;;;;;;;;;;41481;4005;25250;9683;1620;242;189;492;30817;24;30793;75871;323;75548;0;148169;298459;193261;138486;191992;138055;75;242553370851;6727148;0,00135;48,66190;1,23381;15,54894;2180,29333;5634,37333;1564,69333;112,19120;0,61658;0,72230
TRF4_TRU_2014;2014;TRF4;TRF 4ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948453985521;29016114;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF4_2º Grau_2014;2014;TRF4;TRF 4ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;92789;0;222621;349307943;46986890;;302321053;0;0;0;0;0;0;0;0;0;27;981;9;2;4;621;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129832;92789;92789;129832;92789;129832;0;948453985521;29016114;0,00037;12,03841;0,09305;2,14019;;;;0,00000;;
TRF4_total_2014;2014;TRF4;TRF 4ª Região;total;1;256276;23171;110788;74376;9536;2180;1423;34802;816923;29765;147614;492254;25758;4035;2498;114999;;;;;139264;131;139133;246760;42;246718;;463303;1084;462219;0;277273;1707;275566;0;;;;;1708032;0;2421842;1706051386;152542755;;1553508631;102;86;36;151;0;0;9;3;2;388;5251;14;13;4;5254;;;;;;;;;;;;;;;;;;;;;180231;22507;111587;34762;5177;1121;1077;4000;129147;72;129075;275159;1093;274066;0;713810;1708032;1215778;679048;1209245;676850;327;948453985521;29016114;0,00180;58,79669;1,33719;18,10718;2083,10092;5546,71254;1392,62997;86,67491;0,63286;0,74893
TRF5_SE_2014;2014;TRF5;TRF 5ª Região;SE;0;8999;196;4390;2614;270;8;43;1478;24132;775;2908;17986;389;6;244;1824;;;;;4903;0;4903;2929;0;2929;;21597;0;21597;0;7118;0;7118;0;;;;;34179;0;69678;72083603;7411013;;64672591;8;1;3;0;1;0;0;0;0;13;230;2;60;1;289;;;;;;;;;;;;;;;;;;;;;10182;403;3731;3994;253;40;9;1752;6167;0;6167;19378;0;19378;0;35727;34179;16193;31733;15943;31684;10;37472431502;2219574;0,00192;32,47632;0,58570;13,02052;2906,70000;6184,60000;2956,00000;102,28374;0,96614;0,52204
TRF5_AL_2014;2014;TRF5;TRF 5ª Região;AL;0;16680;205;9321;3843;1215;8;67;2021;44186;887;5196;30345;713;12;205;6828;;;;;6814;0;6814;11623;0;11623;;42889;0;42888;1;14792;0;14792;0;;;;;70601;0;136984;99069388;7129887;;91939501;11;7;3;0;0;0;2;0;0;19;318;1;72;4;393;;;;;;;;;;;;;;;;;;;;;13462;489;4111;4679;708;76;21;3378;12940;0;12940;45270;0;45269;1;71672;70601;40256;66993;40039;66896;16;40974994014;3321730;0,00242;29,82464;0,57199;11,83118;3592,00000;7409,18750;3670,75000;149,44529;0,98595;0,50457
TRF5_PE_2014;2014;TRF5;TRF 5ª Região;PE;0;19921;644;6547;11007;572;32;137;982;112451;1933;12373;85913;2543;51;243;9395;;;;;20459;0;20459;38288;0;38288;;59545;0;59542;3;13171;0;13168;3;;;;;163910;0;263835;240374585;31886276;;208488309;32;10;9;0;0;0;1;0;0;50;797;36;130;5;896;;;;;;;;;;;;;;;;;;;;;47571;1352;11334;27038;1952;119;21;5755;49070;0;49070;62329;0;62326;3;158970;163910;77997;131932;77703;131792;41;155142647932;9277727;0,00155;25,90878;0,53893;9,65754;1910,04878;5002,14634;2680,48780;122,65625;1,38298;0,46413
TRF5_RN_2014;2014;TRF5;TRF 5ª Região;RN;0;16425;792;10492;2774;342;54;109;1862;38205;1816;7065;25672;723;191;318;2420;;;;;10681;0;10681;19298;0;19298;;36063;0;36063;0;13027;0;13027;0;;;;;70530;0;133699;113288185;13062567;;100225618;14;5;3;0;0;0;1;0;0;21;373;11;69;0;431;;;;;;;;;;;;;;;;;;;;;16162;1160;6358;6360;409;66;13;1796;24370;0;24370;40952;0;40952;0;81484;70530;44858;75124;44349;75045;18;54022583912;3408510;0,00210;33,23686;0,61610;12,64482;2803,50000;5762,22222;3173,00000;132,51508;1,08813;0,44934
TRF5_CE_2014;2014;TRF5;TRF 5ª Região;CE;0;18381;1036;7187;8055;1054;118;82;849;105709;2469;14653;71170;3672;60;168;13517;;;;;25544;0;25544;40118;0;40118;;82727;0;82722;5;25801;0;25797;4;;;;;171628;0;298280;244643100;26541517;;218101583;26;16;9;1;0;0;0;0;0;52;806;9;121;6;924;;;;;;;;;;;;;;;;;;;;;28333;903;8793;10669;1778;38;61;6091;43961;0;43961;85676;0;85670;6;157970;171628;100458;147301;100230;147202;43;126054471625;8842791;0,00194;27,66582;0,58805;10,44919;2326,83721;5409,72093;2651,37209;123,38636;1,12760;0,50989
TRF5_PB_2014;2014;TRF5;TRF 5ª Região;PB;0;10059;376;3854;4761;463;17;66;522;66569;2106;9809;47356;1267;35;211;5785;;;;;12848;0;12848;20517;0;20517;;39550;0;39545;5;16301;0;16301;0;;;;;103387;0;165844;123716797;13475370;;110241427;15;6;3;0;1;0;0;0;0;25;429;6;64;2;489;;;;;;;;;;;;;;;;;;;;;17688;731;5407;8332;257;49;26;2886;26877;0;26877;40857;0;40857;0;85422;103387;56031;77090;55785;77015;22;52936483065;3943885;0,00234;31,36927;0,63389;12,39894;2227,22727;6021,77273;2661,13636;119,72393;1,18013;0,55808
TRF5_TRU_2014;2014;TRF5;TRF 5ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;466603612050;31014217;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF5_2º Grau_2014;2014;TRF5;TRF 5ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;43273;0;85573;211714520;18902798;;192811721;0;0;0;0;0;0;0;0;0;13;525;25;214;12;446;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42300;43273;43273;42300;43273;42300;0;466603612050;31014217;0,00045;6,82637;0,04192;1,43805;;;;0,00000;;
TRF5_total_2014;2014;TRF5;TRF 5ª Região;total;1;90465;3249;41791;33054;3916;237;504;7714;391252;9986;52004;278442;9307;355;1389;39769;;;;;81249;0;81249;132773;0;132773;;282371;0;282357;14;90210;0;90203;7;;;;;661585;0;1295130;1104890177;118409428;;986480749;106;45;30;1;2;0;4;0;0;193;3478;90;730;30;4148;;;;;;;;;;;;;;;;;;;;;133398;5038;39734;61072;5357;388;151;21658;163385;0;163385;294462;0;294452;10;633545;661585;383143;572473;381399;571934;150;466603612050;31014217;0,00237;35,62528;0,62230;13,37451;2429,11333;5695,32000;2852,40000;103,14851;1,14758;0,49917
TRF_total_2014;2014;TRF;TRF;total;1;1095113;85959;424772;410235;40435;1786;5036;126890;5190619;164183;731753;3637989;151434;6463;11126;487671;;;;;522058;274;521784;1143399;216;1143183;;1921070;4297;1874347;42426;1825985;5782;1798542;21661;;;;;9379105;0;13077775;8710192624;927061462;;7783131162;832;317;192;315;26;0;49;10;8;1751;26795;527;1855;136;28786;;;;;;;;;;;;;;;;;;;;;1271053;108817;523264;331239;32129;3891;2060;269653;500431;178;500253;1456939;3250;1407184;46505;3698670;9379105;5741116;3367431;5723527;3361480;1431;5778952779987;202799516;0,00151;42,94977;0,86341;14,19431;1984,65758;7011,03215;1906,35360;94,76801;0,90445;0,72809
TRF1_DF_2015;2015;TRF1;TRF 1ª Região;DF;0;39939;2801;20438;9994;5205;0;0;1501;202536;3199;46502;123023;13763;0;0;16049;;;;;13344;0;13344;36396;2;36394;;44401;73;30796;13532;29216;116;28392;708;;;;;268148;0;334756;311212192;57428066;3270430;250513696;36;8;9;4;0;0;1;0;0;56;456;26;62;1;493;345;61;24;26;456;42;13;6;1;62;1;0;0;0;1;7288;1283;556;191;26;27025;2583;16772;4008;1357;0;0;2305;12204;0;12204;27379;47;24134;3198;66608;268148;145125;62600;145125;62600;47;215612862838;2914830;0,00144;106,76856;1,92121;16,91351;1474,61702;6725,36170;1157,53191;110,35294;0,64506;0,82789
TRF1_GO_2015;2015;TRF1;TRF 1ª Região;GO;0;29320;3552;8435;14136;3125;0;0;72;143285;3155;12146;116429;7907;0;0;3648;;;;;12117;5;12112;23395;0;23395;;63513;127;41892;21494;43190;152;40981;2057;;;;;209870;0;291666;232689277;23412848;40804;209235625;14;5;3;13;0;1;1;0;1;34;434;20;35;1;450;194;49;173;18;434;6;6;23;0;35;0;0;1;0;1;3170;1048;2921;273;20;16517;3665;5874;4912;1433;0;0;633;16300;1;16299;48979;115;39975;8889;81796;209870;93441;76884;93441;76884;32;173632450243;6610681;0,00134;35,19899;0,51432;6,80717;2227,09375;8728,37500;2046,75000;145,54667;0,70552;0,76551
TRF1_MT_2015;2015;TRF1;TRF 1ª Região;MT;0;17897;3646;5391;7536;1277;0;0;47;66706;5099;10348;44433;4705;0;0;2121;;;;;4612;2;4610;13687;2;13685;;22868;88;15728;7052;25127;119;23502;1506;;;;;105520;0;136119;125106761;10563857;1900773;112642131;4;3;2;10;0;1;0;0;0;20;311;12;7;1;307;100;29;172;10;311;1;1;5;0;7;0;0;1;0;1;871;908;2209;219;12;9012;2944;3747;1439;282;0;0;600;2789;2;2787;18798;69;14644;4085;30599;105520;61087;29160;61087;29160;18;107418318632;3265486;0,00116;38,31183;0,61247;9,40136;1870,33333;7366,55556;1545,00000;90,58632;0,68220;0,79027
TRF1_MG_2015;2015;TRF1;TRF 1ª Região;MG;0;98423;11204;36116;45379;4548;0;0;1176;411838;13320;62671;299710;17800;0;2;18335;;;;;38669;33;38636;136947;11;136936;;156161;399;117225;38537;205603;463;199903;5237;;;;;754388;0;954720;700253005;79717177;8693771;611842057;46;27;13;42;0;5;4;0;0;129;1462;62;88;5;1493;687;217;503;55;1462;27;20;39;2;88;3;0;2;0;5;8509;3288;10174;779;62;53613;9605;24616;15833;983;0;0;2576;27438;34;27404;119281;300;99265;19716;200332;754388;454678;184499;454676;184499;116;519331213138;20869101;0,00135;33,55454;0,61814;7,15412;1852,33621;7517,45690;1490,46552;115,80308;0,67912;0,80173
TRF1_AC_2015;2015;TRF1;TRF 1ª Região;AC;0;3395;1144;976;1082;189;0;0;4;12131;1185;1681;8035;782;0;0;448;;;;;1233;0;1233;4203;0;4203;;6642;74;4886;1682;7653;67;7299;287;;;;;23987;0;35125;50854751;6405419;0;44449332;3;2;2;2;0;1;0;0;0;10;95;4;8;0;99;57;15;15;8;95;5;2;0;1;8;0;0;0;0;0;771;262;166;120;4;2173;857;680;455;127;0;0;54;2013;0;2013;6952;81;5477;1394;11138;23987;15952;10683;15952;10683;8;13622801799;803513;0,00373;63,29051;1,24453;12,32090;1043,87500;3727,62500;1140,62500;92,17172;0,90914;0,69401
TRF1_AM_2015;2015;TRF1;TRF 1ª Região;AM;0;11784;2936;2866;5222;581;0;0;179;54882;3441;5142;41863;2569;0;0;1867;;;;;4995;4;4991;5142;1;5141;;10500;68;6261;4171;5294;219;4830;245;;;;;65318;0;87446;81895148;8527779;75500;73291869;3;3;2;7;0;1;1;0;0;15;183;14;19;1;189;76;29;67;11;183;7;4;6;2;19;1;0;0;0;1;1858;890;2136;262;14;5924;2289;1939;1246;173;0;0;277;8768;2;8766;7436;61;6566;809;22128;65318;23455;20882;23455;20882;13;86568184233;3938336;0,00095;20,79435;0,38087;4,79898;1379,53846;6343,07692;1027,69231;70,68783;0,59953;0,83798
TRF1_AP_2015;2015;TRF1;TRF 1ª Região;AP;0;3434;408;746;2079;129;0;0;72;15947;1065;1326;12046;939;0;0;571;;;;;0;0;0;0;0;0;;9760;28;7936;1796;9978;49;9635;294;;;;;25925;0;37584;59202422;4026322;248548;54927551;3;2;0;2;0;0;0;0;0;7;132;7;6;0;131;65;31;36;0;132;4;2;0;0;6;0;0;0;0;0;1323;524;778;0;7;3441;521;857;1695;75;0;0;293;0;0;0;8218;12;6781;1425;11659;25925;13879;9964;13879;9964;7;13861293272;766679;0,00427;77,21931;0,91303;17,08668;1618,00000;5588,42857;1665,57143;89,00000;0,88366;0,70196
TRF1_PA_2015;2015;TRF1;TRF 1ª Região;PA;0;21413;4645;6060;9642;964;0;0;102;105738;8196;13762;75530;4445;0;0;3805;;;;;11690;4;11686;20684;4;20680;;65177;301;46044;18832;42340;337;40019;1984;;;;;168762;0;264170;176410095;16271759;4758435;155379902;5;4;2;15;0;1;0;0;0;27;381;20;19;0;380;121;50;193;17;381;3;3;13;0;19;0;0;0;0;0;2674;681;3501;365;20;12115;3385;4316;3427;329;0;0;658;9373;4;9369;73920;250;57761;15909;95408;168762;93232;91981;93232;91981;25;130899505115;8175113;0,00135;21,57892;0,33027;4,64825;2706,24000;9386,72000;3441,40000;226,40789;0,99359;0,63338
TRF1_RO_2015;2015;TRF1;TRF 1ª Região;RO;0;8936;2752;2736;2961;253;204;0;30;34657;3602;5390;23103;1254;272;0;1036;;;;;4010;6;4004;9900;3;9897;;14339;149;9526;4664;15714;200;15046;468;;;;;60271;0;84550;85609564;5922827;355154;79331583;2;3;3;11;0;0;0;0;0;19;174;11;21;0;184;47;27;90;10;174;6;4;11;0;21;0;0;0;0;0;1046;784;1994;154;11;5991;1950;1821;1703;233;0;52;232;3577;2;3575;14711;87;11954;2670;24279;60271;37168;22576;36896;22524;16;36563332700;1768204;0,00234;48,41611;1,07454;10,40604;1148,56250;4602,87500;1293,87500;112,51087;0,88945;0,71890
TRF1_RR_2015;2015;TRF1;TRF 1ª Região;RR;0;3470;1073;1042;1186;157;0;0;12;12312;1210;1287;8834;673;0;0;308;;;;;0;0;0;0;0;0;;3094;14;2560;520;1584;36;1490;58;;;;;13896;0;22800;34097019;3945657;791654;29359708;3;2;0;0;0;0;0;0;0;5;67;4;12;0;75;54;12;0;1;67;9;3;0;0;12;0;0;0;0;0;1232;167;0;87;4;2590;1094;1114;299;42;0;0;41;8;0;8;6306;35;5926;345;8904;13896;5062;8605;5062;8605;5;10242905137;505665;0,00333;67,43006;0,98880;14,83195;1206,40000;4092,00000;1779,20000;118,61333;1,35527;0,56520
TRF1_TO_2015;2015;TRF1;TRF 1ª Região;TO;0;6828;1676;1500;3034;603;0;0;15;20781;2305;2176;14310;1524;0;0;466;;;;;3944;19;3925;4074;11;4063;;16676;45;11750;4881;20436;87;19930;419;;;;;45291;0;69403;60016766;3729613;0;56287153;3;2;3;4;0;0;0;0;0;12;115;7;12;1;121;46;16;45;8;115;3;2;7;0;12;0;0;1;0;1;1191;370;896;215;7;6143;1363;1261;3124;281;0;0;114;2998;29;2969;14971;61;12047;2863;24112;45291;30981;20988;30981;20988;9;28930290798;1515126;0,00207;39,61173;0,79201;7,98613;2067,55556;7191,22222;2346,00000;174,49587;0,89832;0,67377
TRF1_BA_2015;2015;TRF1;TRF 1ª Região;BA;0;43215;5242;13569;21590;2018;0;0;796;192730;6859;31232;137202;9121;0;0;8316;;;;;19356;1;19355;53676;2;53674;;99003;102;72760;26141;81371;190;77307;3874;;;;;327777;0;451386;378536968;29391671;10354654;338790643;21;9;5;25;0;5;2;1;1;61;738;44;63;2;759;281;76;352;29;738;12;10;40;1;63;0;1;1;0;2;5920;2721;6648;831;44;23308;4419;9488;7587;449;0;0;1365;20808;2;20806;79493;75;64072;15346;123609;327777;190575;116022;190575;116022;57;245043689661;15203333;0,00154;24,89829;0,40123;4,99233;2022,47368;7303,84211;1803,52632;135,44269;0,72284;0,75307
TRF1_MA_2015;2015;TRF1;TRF 1ª Região;MA;0;17336;3676;5309;7222;851;0;0;278;73872;6011;14395;45210;4399;0;0;3857;;;;;10843;2;10841;21723;2;21721;;78544;46;64491;14007;71589;325;69439;1825;;;;;167184;0;255155;150611834;11812078;0;138799756;5;4;6;11;0;0;1;1;0;24;304;18;32;0;318;120;47;118;19;304;10;7;14;1;32;0;0;0;0;0;3339;607;2226;335;18;6895;2063;3245;1125;112;0;0;350;14436;3;14433;66640;93;58179;8368;87971;167184;121974;86846;121974;86846;18;78475993839;6904241;0,00192;21,81439;0,34761;4,60586;4533,05556;13407,83333;4085,27778;231,24214;0,76695;0,69531
TRF1_PI_2015;2015;TRF1;TRF 1ª Região;PI;0;8848;1761;3385;3532;167;0;0;3;48773;3243;10518;31418;1813;0;0;1781;;;;;7268;1;7267;16136;1;16135;;47862;77;33201;14584;51170;164;47644;3362;;;;;116079;0;178093;112794819;7068229;128917;105597673;7;6;1;9;0;2;0;0;0;25;242;15;9;2;238;78;39;113;12;242;3;3;2;1;9;0;0;2;0;2;1797;765;2315;697;15;5131;1605;1854;1327;134;0;0;211;5248;1;5247;51635;102;39135;12398;62014;116079;84661;60687;84661;60687;24;39149685744;3204028;0,00288;35,20407;0,78027;7,42815;1755,12500;6527,20833;2365,25000;238,51261;1,00099;0,63763
TRF1_TRU_2015;2015;TRF1;TRF 1ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1699352527149;76444336;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF1_2º Grau_2015;2015;TRF1;TRF 1ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;443828;0;583388;529534336;47910480;13515905;468107951;0;0;0;0;0;0;0;0;0;26;0;0;0;0;619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139560;443828;443828;139560;443828;139560;0;1699352527149;76444336;0,00031;6,92706;0,03401;0,80974;;;;0,00000;;
TRF1_total_2015;2015;TRF1;TRF 1ª Região;total;1;314238;46516;108569;134595;20067;204;0;4287;1396188;61890;218576;981146;71694;272;2;62608;;;;;132081;77;132004;345963;39;345924;;638540;1591;465056;171893;610265;2524;585417;22324;;;;;2796244;0;3786361;3088824957;316133782;44134546;2728556630;155;80;51;155;0;17;11;2;2;469;5094;264;393;14;8182;2271;698;1901;224;5094;138;80;166;9;393;5;1;8;0;14;40989;14298;36520;4528;264;179878;38343;77584;48180;6010;0;52;9709;125960;80;125880;544719;1388;445916;97415;990117;2796244;1815098;941937;1814824;941885;394;1699352527149;76444336;0,00182;40,40620;0,61352;10,70321;1970,54315;7510,73858;1839,07868;88,55989;0,76051;0,75514
TRF2_RJ_2015;2015;TRF2;TRF 2ª Região;RJ;0;109183;7616;32879;51581;5899;0;715;10493;511460;14344;63421;389865;14745;0;2385;26700;;;;;36910;21;36889;82990;12;82978;;133411;366;97984;35061;95954;632;81715;13607;;;;;690404;0;974049;981822694;136014378;3901620;841906696;119;55;21;29;0;0;14;5;0;205;2243;65;117;7;2302;941;387;822;93;2243;57;21;34;5;117;5;1;1;0;7;13060;5327;4683;600;65;111094;8817;31024;54540;3678;502;479;12054;36663;21;36642;135888;307;97877;37704;283645;690404;300539;229105;298154;228124;184;659138951833;16550024;0,00149;59,32455;1,23867;13,90935;1066,98370;4619,60870;1342,29348;107,29018;1,01809;0,70944
